username;password;email;firstname;lastname;city;country;cohort1
maximilianocollins;Ti8F@&0q;maximilianocollins@mail.local;Maximiliano;Collins;Ipiranga;BR;T01
celsodouglas;F#@V4wo0;celsodouglas@mail.local;Celso;Douglas;Nova Fátima;BR;T01
telianoparrish;%Lo&48jK;telianoparrish@mail.local;Teliano;Parrish;Bituruna;BR;T01
hermanojensen;Q6l$A&x3;hermanojensen@mail.local;Hermano;Jensen;Altônia;BR;T01
remicameron;z$SQ41k%;remicameron@mail.local;Remi;Cameron;Faxinal;BR;T01
ricardomiddleton;St29iH@#;ricardomiddleton@mail.local;Ricardo;Middleton;Wenceslau Braz;BR;T01
gracilianorowe;&fLr4B%7;gracilianorowe@mail.local;Graciliano;Rowe;Joaquim Távora;BR;T01
judasneal;$n84ENf&;judasneal@mail.local;Judas;Neal;Ortigueira;BR;T01
oseiascassidy;%@B4Ka1p;oseiascassidy@mail.local;Oseias;Cassidy;Planaltina do Paraná;BR;T01
heliodoroparker;4pV2&o@B;heliodoroparker@mail.local;Heliodoro;Parker;Campina da Lagoa;BR;T01
madalenoroberts;#gHaT@40;madalenoroberts@mail.local;Madaleno;Roberts;Rancho Alegre;BR;T01
fabriciomckenzie;&Jg#51Gi;fabriciomckenzie@mail.local;Fabrício;McKenzie;Sabáudia;BR;T01
amndiodickey;3j%2eF$R;amndiodickey@mail.local;Amândio;Dickey;Contenda;BR;T01
viniciomcwilliams;f@rI$08B;viniciomcwilliams@mail.local;Vinício;McWilliams;Indianópolis;BR;T01
adnerconnolly;f8#%QgN7;adnerconnolly@mail.local;Adner;Connolly;Conselheiro Mairinck;BR;T01
marinhoweaver;b$%P4Y5p;marinhoweaver@mail.local;Marinho;Weaver;Figueira;BR;T02
joaquimcox;ZP5@uv9#;joaquimcox@mail.local;Joaquim;Cox;Mato Rico;BR;T02
persiokeene;%4PjyH1&;persiokeene@mail.local;Pérsio;Keene;Moreira Sales;BR;T02
daciotucker;5@N%3Qjd;daciotucker@mail.local;Dácio;Tucker;Guarapuava;BR;T02
uriasholt;l0d1%Y&X;uriasholt@mail.local;Urias;Holt;Santa Amélia;BR;T02
telianocraig;X27#yU&r;telianocraig@mail.local;Teliano;Craig;Uniflor;BR;T02
borisleach;fO#61&nC;borisleach@mail.local;Bóris;Leach;Pitanga;BR;T02
vivequegorman;&uw%7RP4;vivequegorman@mail.local;Viveque;Gorman;Itambaracá;BR;T02
ariostomason;9%6nLDi#;ariostomason@mail.local;Ariosto;Mason;Mandaguaçu;BR;T02
sidneiwilliamson;$F%07bsN;sidneiwilliamson@mail.local;Sidnei;Williamson;Primeiro de Maio;BR;T02
periclesdunn;SDu%2g#7;periclesdunn@mail.local;Péricles;Dunn;Marilena;BR;T02
diotilallen;%#l3yVL4;diotilallen@mail.local;Diotil;Allen;São José da Boa Vista;BR;T02
urielboyle;%@Jt0Q7p;urielboyle@mail.local;Uriel;Boyle;Vera Cruz do Oeste;BR;T02
quelimacmillan;Ba%0&J4p;quelimacmillan@mail.local;Quéli;MacMillan;Altônia;BR;T02
rudihatch;1%@HNu4i;rudihatch@mail.local;Rúdi;Hatch;Cambira;BR;T02
noemccormick;3hy0%T$X;noemccormick@mail.local;Noé;McCormick;Ampére;BR;T03
daviscott;aV4He#$9;daviscott@mail.local;Davi;Scott;Loanda;BR;T03
rivelinoadkins;0G%#8Dxg;rivelinoadkins@mail.local;Rivelino;Adkins;Borrazópolis;BR;T03
clemenciowarner;%8V7b$Ht;clemenciowarner@mail.local;Clemêncio;Warner;Jussara;BR;T03
olintomaldonado;#9@uTI4b;olintomaldonado@mail.local;Olinto;Maldonado;Rio Bom;BR;T03
tobiasmartin;vIsN31%$;tobiasmartin@mail.local;Tobias;Martin;Rio Branco do Ivaí;BR;T03
joriorobles;hE%j2$Z1;joriorobles@mail.local;Jório;Robles;Renascença;BR;T03
vitalioyates;R9yOa0&$;vitalioyates@mail.local;Vitálio;Yates;Nova Londrina;BR;T03
arquiminiogardner;2x%8@WCg;arquiminiogardner@mail.local;Arquimínio;Gardner;Contenda;BR;T03
